[2026-02-14 19:49:06.304] server_start build=20260214-184906 base=C:\Users\user\Music\Komunikator JGS\Alfa v8\
[2026-02-14 21:11:50.920] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 21:12:01.922] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 21:12:20.121] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 21:12:38.337] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 21:14:00.771] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 21:14:21.502] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 21:14:34.996] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 21:14:39.716] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 21:14:57.922] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 21:15:16.131] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 21:15:34.340] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 21:15:52.542] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 21:16:10.749] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 21:16:28.964] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 21:16:47.161] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 21:17:05.367] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 21:17:23.573] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 21:17:41.790] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 21:17:59.995] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 21:18:18.194] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 21:18:36.407] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 21:18:54.175] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 21:35:22.519] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 21:35:31.258] POST /api/admin/mute/1 status=500 ms=3 aborted_before=False aborted_after=False ex=InvalidOperationException msg=No authentication handler is registered for the scheme 'Nie można wyciszać administratora.'. The registered schemes are: Bearer. Did you forget to call AddAuthentication().Add[SomeAuthHandler]("Nie można wyciszać administratora.",...)?
[2026-02-14 21:35:54.097] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 21:38:41.544] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 21:39:18.493] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 21:49:13.781] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 22:06:52.990] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 22:07:25.327] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 22:07:44.190] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 22:08:02.399] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 22:27:44.379] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 22:27:54.351] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 23:40:40.071] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
